"","species","ID","N_wght_p_GREEN","N_wght_p_DEAD","C_wght_p_GREEN","C_wght_p_DEAD"
"226","F3","165_25B_55",3,1.78,36.1,34.18
"227","F3","165_26_01",3.37,2.77,38.92,38.07
"228","F3","165_26_103",2.23,2.39,41.77,41.62
"229","F3","165_26_104",2.79,2.19,40.93,39.28
"230","F3","165_26_116",3.3,2.92,41.62,41.02
"231","F3","165_26_117",3.01,2.72,40.69,40.2
"232","F3","165_26_223",3.63,2.32,38.75,38.51
"233","F3","165_26_27",3.1,NA,40.85,NA
"234","F3","165_26_28",3.22,2.71,40.9,40.26
"235","F3","165_26_29",3.18,2.07,38.65,37.51
"236","F3","165_26_3",2.96,2.55,39.18,37.28
"237","F3","165_26_30",3.19,2.64,39.95,38.22
"238","F3","165_26_31",3.06,2.5,41.22,39.91
"239","F3","165_26_32",3.01,2.35,40.14,40.92
"240","F3","165_26_35",2.75,2.2,39.71,39.7
"241","F3","165_26_36",2.98,2.22,40.48,38.85
"242","F3","165_26_37",2.75,2.58,40.09,40.23
"243","F3","165_26_38",3.18,1.99,39.36,39.02
"244","F3","165_26_39",3.29,2.29,38.88,38.9
"245","F3","165_26_40",2.92,2.06,40.07,38.72
"246","F3","165_26_41",3,1.87,38.17,36.65
"247","F3","165_26_42",3.04,2.34,40.08,39.42
"248","F3","165_26_43",3.29,2.24,40.45,39.79
"249","F3","165_26_5",2.99,2.35,38.68,37.93
"250","F3","165_26_53",2.27,1.62,38.52,37.83
"251","F3","165_26_54",2.47,1.73,37.54,35.81
"252","F3","165_26_55",3.29,2.54,40.6,40.81
"253","F3","165_26_56",2.72,1.84,39.26,38.67
"254","F3","165_26_57",3.2,2.93,40.68,40.42
"255","F3","165_26_58",2.72,2.26,40.38,39.94
"256","F3","165_26_69",2.1,1.87,37.14,36.09
"257","F3","165_26_7",3.35,2.42,38.07,37.35
"258","F3","165_26_70",2.76,2.11,39.62,38.58
"259","F3","165_26_71",2.34,2.09,38.54,40.25
"260","F3","165_26_72",NA,2.32,NA,38.6
"261","F3","165_26_73",2.72,1.96,38.63,36.77
"262","F3","165_26_87",3.32,2.28,40.14,38.89
"263","F3","165_26_88",2.98,1.94,41.42,39.24
"264","F3","165_26_9",2.78,1.97,41.17,40.36
"265","F3","165_26_93",2.71,1.61,39.15,35.66
"266","F3","165_26_95",2.85,1.64,40.57,39.15
"267","F3","165_26_96",2.47,2.47,41.01,40.82
"268","F3","165_26B_100",2.45,1.94,40.76,40.25
"269","F3","165_26B_101",3.24,2.55,40.49,39.96
"270","F3","165_26B_11",2.69,2.04,37.29,35.56
"271","F3","165_26B_12",3.22,2.75,41.18,40.32
"272","F3","165_26B_14",3.29,2.39,39.6,39.52
"273","F3","165_26B_15",3.39,3.07,41.1,40
"274","F3","165_26B_16",3.28,2.6,39.13,37.15
"275","F3","165_26B_168",2.8,2.24,38.05,37.6
"276","F3","165_26B_183",3.08,2.66,37.85,37.47
"277","F3","165_26B_19",3.25,2.39,41.39,40.77
"278","F3","165_26B_191",NA,2.93,NA,38.99
"279","F3","165_26b_191",4.08,NA,39.11,NA
"280","F3","165_26B_193",3.57,2.55,38.62,39.22
"281","F3","165_26B_207",3.63,2.67,38.45,38.44
"282","F3","165_26B_208",2.85,1.79,38.25,37.03
"283","F3","165_26B_21",2.97,1.66,39.49,38.2
"284","F3","165_26B_211",3.16,1.72,37.64,35.85
"285","F3","165_26B_212",3.38,NA,39.47,NA
"286","F3","165_26b_212",NA,2.51,NA,38.86
"287","F3","165_26B_215",NA,1.16,NA,38.19
"288","F3","165_26B_220",2.69,1.31,38.96,37.62
"289","F3","165_26B_222",3.81,2.59,37.27,37.02
"290","F3","165_26B_226",3.21,2.51,37,37.52
"291","F3","165_26B_227",3.52,2.49,38.78,38.65
"292","F3","165_26B_24",3.17,2.13,39.62,39.68
"293","F3","165_26B_26",2.97,2.02,40.21,39.81
"294","F3","165_26B_44",3.07,2.54,38.63,39.26
"295","F3","165_26B_45",3.27,2.29,39.32,37.76
"296","F3","165_26B_46",3.19,2.64,40.31,40.88
"297","F3","165_26B_48",2.65,1.91,39.27,36.49
"298","F3","165_26B_49",2.87,2.37,40.86,40.25
"299","F3","165_26B_50",2.76,2.54,40.37,41.35
"300","F3","165_26B_52",3.04,1.99,38.43,37.98
"301","F3","165_26B_60",2.91,2.42,38.41,37.02
"302","F3","165_26B_62",2.85,1.9,41.38,38.5
"303","F3","165_26B_64",3.8,2.6,38.77,37.23
