"ID","GREEN","DEAD"
"165_26E_199",3.4,2.44
"165_26E_201",3.34,2.6
"165_26E_219",3,2.09
"165_26E_221",3.24,1.67
"165_31D_86",3,1.6
"251_12_05",3.55,NA
"251_12_116",3.63,1.86
"251_12_20",4.04,NA
"251_12_26",3.63,NA
"251_12_32",3.91,NA
"251_12_37",4.08,NA
"251_12_59",3.66,NA
"251_12_64",3.22,NA
"251_12_65",3.97,NA
"251_12B_100",3.61,NA
"251_12B_102",3.87,NA
"251_12B_46",3.28,NA
"251_12B_49",3.81,NA
"251_12B_50",4.48,NA
"251_12B_73",3.85,NA
"251_12B_76",3.93,NA
"251_12B_80",3.71,NA
"251_12B_84",3.32,NA
"251_12B_93",4.19,NA
"251_14_12",3.28,NA
"251_14_31",3.58,NA
"251_14_42",3.32,NA
"251_14_44",4.03,NA
"251_29D_30",3.83,NA
"ALLE_JG_003",2.31,2.37
"ALLE_JG_007_03",2.63,2.19
"ALLE_JG_007_04",NA,1.98
"ALLE_JG_007_07",3.17,2.79
"ALLE_JG_007_08",3.28,2.29
"ALLE_JG_007_10",3.61,2.45
"ALLE_JG_007_12",3.63,2.94
"ALLE_JG_007_4",2.58,NA
"ALLE_JH_0221_02",NA,2.4
"ALLE_JH_0229_14",NA,2.97
"ALLE_JH_0229_26",3.34,2.03
"ALLE_JH_0229_27",2.99,1.55
"ALLE_JH_0229_33",3.91,2.64
"ALLE_JH_0229_37",3.54,2.51
"ALLE_KK0147",2.16,1.46
"ALLE_KK0149",2.27,2.15
"ALLE_PLR1_004",2.34,2.12
"ALLE_PLR2_001",2.35,2.09
"ALLE_PLR2_002_01",3.59,2.36
"ALLE_PLR2_002_02",3.53,2.45
"ALLE_PLR2_002_03",3.71,2.58
"ALLE_PLR2_002_04",3.83,2.83
"ALLE_PLR2_002_05",3.71,2.21
"ALLE_PLR2_002_06",3.53,2.36
"ALLE_PLR2_002_07",3.84,2.37
"ALLE_PLR2_002_08",2.87,2.5
"ALLE_PLR2_002_09",3.26,2.37
"ALLE_PLR2_002_10",NA,2.45
"ALLE_PLR2_002_11",3.6,2.24
"ALLE_PLR2_002_13",3.07,2.19
"ALLE_PLR2_002_14",3.31,2.16
