ID,G_parent,parent,type,tissue_collected,D_extracted,days_to_radicle,GR.M2.date,GR.cm.dy,GR.days,total_growth,notes,date,thick.1,thick.2,thick.3,tough.1,tough.2,tough.3,area,wet.g,wet.date,dry.g,dry.date,tmp.ldmc,N_wght_p_GREEN,N_wght_p_DEAD,DD_date_start,PER1_start,PER2_start,Grn.SPAD_start,date_end,PER1_end,PER2_end,Dry.SPAD_end,C_wght_p_GREEN,C_wght_p_DEAD
165_009_47,165,165_009,F3,y,y,18,5/30/22,0.46,26,11.9,,7/15/22,0.372,0.448,0.587,82,86,108,24.9,0.93,7/16/22,0.13,7/29/22,0.139784946,3.34,2.05,7/25/22,3627,3251,57.2,8/26/22,2030,2044,39,37.68,36.45
165_009_48,165,165_009,F3,y,y,18,5/30/22,0.48,26,12.5,,7/14/22,0.395,0.468,0.619,76,138,156,35.73,1.36,7/16/22,0.16,7/21/22,0.117647059,4.464,2.656,7/25/22,3083,3062,58.5,8/15/22,2029,2025,37.2,37.702,36.568
165_009_49,165,165_009,F3,y,y,18,5/30/22,0.58,26,15.2,,7/15/22,0.395,0.442,0.523,60,88,186,41.57,1.83,7/16/22,0.17,7/29/22,0.092896175,3.79,2.7,7/25/22,2689,2774,52.4,8/26/22,2022,2017,39.1,38.45,38.15
165_009_51,165,165_009,F3,y,y,18,6/6/22,0.58,26,15,,7/25/22,0.382,0.479,0.595,76,122,164,32.26,1.59,8/1/22,0.18,8/5/22,0.113207547,3.52,2.45,8/1/22,3694,4055,58.2,9/9/22,2015,2011,21.5,37.97,36.52
165_009_52,165,165_009,F3,y,y,18,,#VALUE!,NA,NA,,7/8/22,0.433,0.501,0.622,88,130,142,41.41,1.71,7/16/22,0.19,7/21/22,0.111111111,NA,1.61,7/18/22,3505,2557,56.5,8/5/22,2027,2042,24,NA,35.68
165_009_53,165,165_009,F3,y,y,18,5/23/22,0.45,26,11.7,,7/8/22,0.428,0.465,0.628,58,122,108,39.6,1.59,7/16/22,0.2,7/21/22,0.125786164,3.37,1.99,7/18/22,3528,3820,50.2,8/15/22,2080,2065,10.5,38.36,36.82
165_009_55,165,165_009,F3,y,y,18,5/30/22,0.51,26,13.2,,7/15/22,0.373,0.444,0.599,56,82,88,36.06,1.56,7/16/22,0.2,7/29/22,0.128205128,3.28,2.15,7/25/22,3620,3789,54.3,8/26/22,2010,2015,32.3,38.71,36.75
165_009_57,165,165_009,F3,y,y,18,5/23/22,0.52,26,13.5,,7/8/22,0.383,0.461,0.552,110,118,160,78.6,3.6,7/16/22,0.41,7/21/22,0.113888889,3.45,2.56,7/18/22,3179,3162,53.8,8/12/22,2017,2015,46.7,39.05,39.46
165_009_58,165,165_009,F3,y,y,18,5/23/22,0.31,26,8,,7/10/22,0.399,0.495,0.628,104,144,174,41.34,1.52,7/16/22,0.16,7/21/22,0.105263158,3.82,2.48,7/18/22,3126,3232,62.2,8/15/22,2017,2015,23.4,38.07,37.01
165_009_73,165,165_009,F3,y,y,18,5/30/22,0.39,26,10.2,,7/14/22,0.433,0.495,0.688,98,144,166,98.26,4.61,7/16/22,0.58,7/21/22,0.125813449,3.43,2.66,7/25/22,3645,3394,58.8,8/26/22,2014,2006,46.4,40.6,38.76
